Make,Model,Year,BodyType,Cost,Length,CargoRear,CargoTotal,MpgCity,MpgHwy,MpgCombo,FuelType,Drive,Reliability
Mazda,CX-5,2015,SUV,"$21,395",179.3,34.1,64.8,26,33,29,Gasoline,FWD,"Average, some reported issues with infotainment. Generally considered reliable for the class."
Honda,CR-V,2015,SUV,"$23,320",179.3,37.2,70.9,27,34,29,Gasoline,FWD,"Above Average. Consumer Reports rated the 2015 CR-V as ""Very Reliable."" (Based on general consensus and prior years of data)"
Kia,Telluride,2020,SUV,"$31,890",196.9,21,87,20,26,23,Gasoline,FWD,3.5/5
Mazda,CX-30,2020,SUV,"$21,900",173.0,20.2,47.1,25,33,28,Gasoline,FWD,4/5
Kia,Soul,2015,Hatchback,"$15,400 - $16,590",163,24.2,61.3,24,30,27,Gasoline,FWD,Above Average/Good. (Generally considered reliable by sources like J.D. Power and Consumer Reports. Specific ratings vary year to year).
Kia,Sportage,2015,SUV,"$21,900",173.2,26.1,54.6,21,28,24,Gasoline,FWD,"Average (based on various sources; Consumer Reports and J.D. Power ratings around average for the class, but ratings can vary year to year)"
Toyota,RAV4,2015,SUV,"$23,680",181.1,38.4,73.4,24,31,26,Gasoline,FWD,Generally considered very reliable; High marks from J.D. Power and Consumer Reports.
Nissan,Rogue,2015,SUV,"$23,040",182.3,39.3,70.0,26,33,29,Gasoline,FWD,"Above average, with minor issues reported. (Varies depending on the source, but generally considered reliable)"
Ford,Edge,2015,SUV,"$28,995",188,39.2,73.4,21,30,24,Gasoline,FWD,3/5
GMC,Terrain,[value],[Value],[value],[value],[value],[value],[value],[value],[value],[Value],[value],[value]
MINI,Countryman,2015,SUV,"$22,950",161.8,17.6,42.2,27,34,30,Gasoline,FWD,3/5
Subaru,Crosstrek,2015,SUV,"$21,995",175.6,22.3,51.9,25,33,28,Gasoline,AWD,Above Average
Chevrolet,Equinox,2015,SUV,"$22,960",187.8,31.4,63.7,21,31,25,Gasoline,FWD,3.5/5
Volkswagen,Tiguan,2015,SUV,"$23,500",174.3,23.8,56.1,21,26,23,Gasoline,FWD,3/5
Ford,Escape,2015,SUV,"$23,100",178,34.3,67.9,22,31,25,Gasoline,FWD,3/5
Jeep,Cherokee,2015,SUV,"$23,095",172.4,24.8,54.9,22,31,25,Gasoline,FWD,"Average. Consumer Reports rated the 2015 Cherokee as ""Average"" for reliability. J.D. Power's ratings fluctuated, often showing average scores."
Nissan,Murano,2015,SUV,"$29,560",192.8,39.6,70.2,21,28,24,Gasoline,FWD,"Average (Consumer Reports, J.D. Power)"
Chevrolet,Traverse,2015,SUV,"$31,000",205,24.4,116.3,17,24,20,Gasoline,FWD,"Average, with some common issues reported (e.g., timing chain issues, some transmission concerns). Reliability data varies slightly based on different sources."
Lexus,NX,2015,SUV,"$34,965",182.3,17.7,54.6,22,28,25,Gasoline,FWD,"Above Average (Based on historical data, and may vary depending on the specific source used)"
Acura,RDX,2015,SUV,"$35,670",183.5,26.1,61.3,20,28,23,Gasoline,FWD,Above Average (Based on sources like J.D. Power and Consumer Reports - check latest ratings)
Audi,Q3,2015,SUV,"$33,400",172.6,16.7,48.2,20,29,23,Gasoline,FWD,4/5
Infiniti,QX50,2015,SUV,"$34,450",186.8,24.8,50.1,20,27,22,Gasoline,FWD,Above Average
Volvo,XC60,2015,SUV,"$36,625",182.7,30.8,67.4,24,31,27,Gasoline,FWD,Average (Consumer Reports rated it as average)
Mazda,CX-9,2016,SUV,"$31,520",193.4,14.4,71.2,22,28,25,Gasoline,FWD,Above Average (Based on J.D. Power ratings for similar Mazda models. Specific CX-9 ratings were not consistently available during this period but Mazda generally had a good reputation.)
